ltla21_code,ltla21_name,Households assessed as threatened with homelessness per (000s),Households assessed as homeless per (000s),"Households in temporary accommodation per 1,000","Households on housing waiting list per 1,000",Social housing stock as a proportion of all households,Vacant dwellings,housing_and_homelessness_composite_score,housing_and_homelessness_composite_rank,housing_and_homelessness_composite_quantiles
E07000063,Lewes,0.519300675090878,0.540938203219664,1.75263977843171,25.881006864988557,0.07370709382151029,51,1.8392857142857144,21,1
E09000023,Lewisham,2.86023673499869,1.1650050408872,20.3129084052126,83.19444444444444,0.1145343137254902,138,3.551948051948052,238.5,8
E07000194,Lichfield,1.36150128208037,0.748825705144206,0.340375320520093,8.859649122807017,0,0,2.383116883116883,67,3
E07000138,Lincoln,1.51435027162156,4.08634200278833,1.85087255420412,24.776470588235295,0.1811529411764706,74,2.793831168831169,123,4
E08000012,Liverpool,0.260441956757807,1.22275291562563,2.90458995841757,65.22409638554217,0,128,2.9334415584415585,142,5
E06000032,Luton,2.02771642966924,3.46132486083666,13.5224146615522,111.53358681875793,0.09811153358681876,30,4.334415584415584,290,10
E07000110,Maidstone,1.99785264817407,1.71244512700635,3.60157110044986,12.514044943820226,0,0,3.8636363636363633,269,9
E07000074,Maldon,0.594779931425373,0.31488349310755,0.979637534112378,37.8494623655914,0,0,2.6525974025974026,98.5,4
E07000235,Malvern Hills,0.630984060793943,0.905324956791309,0.24690680639763,26.6189111747851,0,0,2.3668831168831166,66,3
E08000003,Manchester,1.99573514134179,5.59990522536315,13.017843147976,69.45505356311132,0.07224033535165347,285,4.011363636363637,278,9
E07000174,Mansfield,1.55983826940049,0.841491697966053,0.533628881637009,133.14583333333331,0.13279166666666667,104,2.456168831168831,76.5,3
E06000035,Medway Towns,2.0847077450851,1.96156045212649,3.44812420284118,33.5695067264574,0.02704035874439462,62,3.6185064935064934,248,9
E07000133,Melton,2.56912693228826,2.65621598084041,0.609623339865012,30,0.0795575221238938,77,3.071428571428571,170,6
E07000187,Mendip,1.53789961360272,1.0188584940118,0.365251158230647,36.262425447316105,0,0,3.142857142857143,181,6
E09000024,Merton,1.77931483848332,0.864596646868657,4.23527053103777,115.23867809057528,0,5,4.063311688311688,279,10
E07000042,Mid Devon,1.88576113692266,1.96775075157147,1.22984421973217,46.067415730337075,0.08339887640449438,91,3.2142857142857144,192,7
E07000203,Mid Suffolk,1.50476149530299,0.580408005331155,0.988843268341968,13.024830699774265,0.07316027088036117,51,2.0113636363636362,34.5,2
E07000228,Mid Sussex,0.54677248015997,1.0466787477348,1.06230081859651,31.48499210110584,0,3,2.646103896103896,97,4
E06000002,Middlesbrough,2.05147987094964,4.64651423762098,0.981904895497265,24.842454394693203,0,13,3.7857142857142856,261,9
E06000042,Milton Keynes,1.22718489280448,2.74742886448765,NA,20.70733863837312,0.11175066312997348,359,2.7662337662337664,119,4
E07000210,Mole Valley,1.22268885226729,0.664504811014832,1.46191058423263,18.059299191374663,0,1,2.6217532467532467,93,3
E07000091,New Forest,1.555363535366,0.543142821873843,4.18466855943711,18.582474226804123,0.06659793814432989,73,2.391233766233766,68,3
E07000175,Newark & Sherwood,0.677903994137047,0.787834371564676,0.439721509710517,82.81425891181989,0.10401500938086304,55,2.0064935064935066,33,2
E08000021,Newcastle on Tyne,3.33711220041834,1.46896804994491,1.03785786137412,50.07328990228013,0.20271172638436483,650,2.6623376623376624,102,4
