lad_code,lad_name,Number of arrivals (7 June),total_3jun,percent_3jun,temp_3jun,temp_percent_3jun,Number of arrivals (5 July),total_1jul,percent_1jul,temp_1jul,temp_percent_1jul,Number of arrivals (2 August),total_29jul,percent_29jul,temp_29jul,temp_percent_29jul,Number of arrivals (30 August),total_26aug,percent_26aug,temp_26aug,temp_percent_26aug,Number of arrivals (27 September),total_23sep,percent_23sep,temp_23sep,temp_percent_23sep,Number of arrivals (25 October),total_21oct,percent_21oct,temp_21oct,temp_percent_21oct,Number of arrivals (22 November),total_18nov,percent_18nov,temp_18nov,temp_percent_18nov,ltla21_name,region21_name,region21_code,total_delta,percent_delta,temp_delta,temp_percent_delta
E07000223,Adur,41,0,0,0,0,55,1,0.01818181818181818,0,0,62,0,0,0,0,63,0,0,0,0,66,0,0,0,0,70,0,0,0,0,67,0,0,0,0,Adur,South East,E12000008,0,0,0,0
E07000026,Allerdale,52,0,0,0,0,68,0,0,0,0,81,0,0,0,0,86,0,0,0,0,90,2,0.022222222222222223,0,0,92,3,0.03260869565217391,0,0,90,3,0.03333333333333333,0,0,Allerdale,North West,E12000002,3,0.03333333333333333,0,0
E07000032,Amber Valley,66,0,0,0,0,94,2,0.02127659574468085,0,0,108,4,0.037037037037037035,0,0,119,4,0.03361344537815126,0,0,134,0,0,0,0,138,6,0.043478260869565216,0,0,138,9,0.06521739130434782,1,0.007246376811594203,Amber Valley,East Midlands,E12000004,9,0.06521739130434782,1,0.007246376811594203
E07000224,Arun,138,2,0.014492753623188406,0,0,181,4,0.022099447513812154,0,0,210,5,0.023809523809523808,1,0.004761904761904762,218,6,0.027522935779816515,3,0.013761467889908258,233,6,0.02575107296137339,3,0.012875536480686695,231,8,0.03463203463203463,2,0.008658008658008658,228,9,0.039473684210526314,3,0.013157894736842105,Arun,South East,E12000008,7,0.024980930587337906,3,0.013157894736842105
E07000170,Ashfield,29,0,0,0,0,38,0,0,0,0,43,0,0,0,0,43,2,0.046511627906976744,0,0,53,0,0,0,0,59,0,0,0,0,60,0,0,0,0,Ashfield,East Midlands,E12000004,0,0,0,0
E07000105,Ashford,128,7,0.0546875,7,0.0546875,151,0,0,0,0,168,9,0.05357142857142857,6,0.03571428571428571,178,14,0.07865168539325842,8,0.0449438202247191,184,15,0.08152173913043478,8,0.043478260869565216,191,15,0.078534031413612565,8,0.041884816753926704,187,0,0,0,0,Ashford,South East,E12000008,-7,-0.0546875,-7,-0.0546875
E07000200,Babergh,79,0,0,0,0,104,0,0,0,0,135,0,0,0,0,154,1,0.006493506493506494,0,0,169,2,0.011834319526627219,0,0,173,2,0.011560693641618497,0,0,175,6,0.03428571428571429,0,0,Babergh,East of England,E12000006,6,0.03428571428571429,0,0
E09000002,Barking & Dagenham,74,0,0,0,0,96,0,0,0,0,125,0,0,0,0,143,0,0,0,0,178,0,0,0,0,214,0,0,0,0,232,0,0,0,0,Barking and Dagenham,London,E12000007,0,0,0,0
E09000003,Barnet,362,22,0.06077348066298342,9,0.024861878453038673,508,28,0.05511811023622047,12,0.023622047244094488,585,33,0.05641025641025641,13,0.022222222222222223,657,35,0.0532724505327245,12,0.0182648401826484,740,39,0.052702702702702706,11,0.014864864864864866,780,39,0.05,12,0.015384615384615385,817,47,0.05752753977968176,13,0.01591187270501836,Barnet,London,E12000007,25,-0.0032459408833016637,4,-0.008950005748020313
E08000016,Barnsley,34,0,0,0,0,43,5,0.11627906976744186,2,0.046511627906976744,56,0,0,0,0,59,0,0,0,0,63,0,0,0,0,69,0,0,0,0,68,0,0,0,0,Barnsley,Yorkshire and The Humber,E12000003,0,0,0,0
E07000027,Barrow-in-Furness,8,0,0,0,0,38,0,0,0,0,43,0,0,0,0,43,0,0,0,0,53,0,0,0,0,16,0,0,0,0,21,0,0,0,0,Barrow-in-Furness,North West,E12000002,0,0,0,0
E07000066,Basildon,69,3,0.043478260869565216,0,0,79,5,0.06329113924050633,6,0.0759493670886076,107,8,0.07476635514018691,7,0.06542056074766354,115,8,0.06956521739130435,6,0.05217391304347826,126,0,0,0,0,137,10,0.072992700729927,6,0.043795620437956206,139,10,0.07194244604316546,4,0.02877697841726619,Basildon,East of England,E12000006,7,0.028464185173600248,4,0.02877697841726619
E07000084,Basingstoke & Deane,165,1,0.006060606060606061,0,0,207,1,0.004830917874396135,0,0,257,0,0,0,0,285,5,0.017543859649122806,0,0,311,10,0.03215434083601286,3,0.00964630225080386,310,13,0.041935483870967745,1,0.0032258064516129032,311,18,0.05787781350482315,2,0.006430868167202572,Basingstoke and Deane,South East,E12000008,17,0.05181720744421709,2,0.006430868167202572
E07000171,Bassetlaw,94,0,0,0,0,102,0,0,0,0,117,0,0,0,0,135,0,0,0,0,146,2,0.0136986301369863,0,0,146,0,0,0,0,145,0,0,0,0,Bassetlaw,East Midlands,E12000004,0,0,0,0
E06000022,Bath & North East Somerset,158,4,0.02531645569620253,0,0,225,7,0.03111111111111111,0,0,252,10,0.03968253968253968,0,0,277,12,0.04332129963898917,0,0,309,16,0.05177993527508091,0,0,324,19,0.05864197530864197,0,0,327,22,0.0672782874617737,1,0.0030581039755351682,Bath and North East Somerset,South West,E12000009,18,0.04196183176557117,1,0.0030581039755351682
E06000055,Bedford,240,7,0.029166666666666667,4,0.016666666666666666,277,7,0.02527075812274368,4,0.01444043321299639,308,13,0.04220779220779221,10,0.032467532467532464,346,13,0.03757225433526012,9,0.02601156069364162,362,13,0.03591160220994475,8,0.022099447513812154,373,0,0,0,0,377,15,0.03978779840848806,10,0.026525198938992044,Bedford,East of England,E12000006,8,0.010621131741821395,6,0.009858532272325377
E09000004,Bexley,150,0,0,0,0,179,0,0,0,0,202,0,0,0,0,222,0,0,0,0,249,0,0,0,0,255,0,0,0,0,263,0,0,0,0,Bexley,London,E12000007,0,0,0,0
E08000025,Birmingham,311,0,0,0,0,428,0,0,0,0,491,0,0,0,0,554,0,0,0,0,615,0,0,0,0,662,0,0,0,0,685,0,0,0,0,Birmingham,West Midlands,E12000005,0,0,0,0
E07000129,Blaby,32,4,0.125,0,0,48,4,0.08333333333333333,0,0,56,5,0.08928571428571429,0,0,59,6,0.1016949152542373,1,0.01694915254237288,64,7,0.109375,1,0.015625,74,7,0.0945945945945946,1,0.013513513513513514,77,8,0.1038961038961039,1,0.012987012987012988,Blaby,East Midlands,E12000004,4,-0.021103896103896097,1,0.012987012987012988
E06000008,Blackburn with Darwen,28,0,0,0,0,38,0,0,0,0,43,0,0,0,0,43,4,0.09302325581395349,0,0,53,4,0.07547169811320754,0,0,52,4,0.07692307692307693,0,0,55,4,0.07272727272727272,0,0,Blackburn with Darwen,North West,E12000002,4,0.07272727272727272,0,0
E06000009,Blackpool,50,1,0.02,0,0,59,1,0.01694915254237288,0,0,70,2,0.02857142857142857,0,0,72,2,0.027777777777777776,0,0,79,2,0.02531645569620253,0,0,77,2,0.025974025974025976,0,0,82,4,0.04878048780487805,0,0,Blackpool,North West,E12000002,3,0.02878048780487805,0,0
E07000033,Bolsover,37,0,0,0,0,43,0,0,0,0,46,0,0,0,0,46,0,0,0,0,53,0,0,0,0,58,0,0,0,0,56,0,0,0,0,Bolsover,East Midlands,E12000004,0,0,0,0
E08000001,Bolton,55,1,0.01818181818181818,0,0,88,2,0.022727272727272728,0,0,113,7,0.061946902654867256,4,0.035398230088495575,118,11,0.09322033898305085,4,0.03389830508474576,126,12,0.09523809523809523,2,0.015873015873015872,128,21,0.1640625,3,0.0234375,131,21,0.16030534351145037,3,0.022900763358778626,Bolton,North West,E12000002,20,0.14212352532963218,3,0.022900763358778626
E07000136,Boston,32,1,0.03125,0,0,46,0,0,0,0,59,0,0,0,0,66,0,0,0,0,74,0,0,0,0,77,0,0,0,0,75,0,0,0,0,Boston,East Midlands,E12000004,-1,-0.03125,0,0
E06000058,"Bournemouth, Christchurch and Poole",282,3,0.010638297872340425,0,0,368,6,0.016304347826086956,2,0.005434782608695652,417,8,0.019184652278177457,2,0.004796163069544364,447,12,0.026845637583892617,5,0.011185682326621925,483,22,0.045548654244306416,7,0.014492753623188406,497,25,0.05030181086519115,9,0.018108651911468814,510,27,0.052941176470588235,7,0.013725490196078431,"Bournemouth, Christchurch and Poole",South West,E12000009,24,0.04230287859824781,7,0.013725490196078431
E06000036,Bracknell Forest,71,6,0.08450704225352113,3,0.04225352112676056,95,8,0.08421052631578947,5,0.05263157894736842,123,11,0.08943089430894309,6,0.04878048780487805,138,0,0,0,0,151,17,0.11258278145695365,6,0.039735099337748346,153,18,0.11764705882352941,6,0.0392156862745098,155,18,0.11612903225806452,6,0.03870967741935484,Bracknell Forest,South East,E12000008,12,0.031621990004543396,3,-0.003543843707405722
E08000032,Bradford,166,0,0,0,0,241,1,0.004149377593360996,0,0,269,0,0,0,0,291,5,0.01718213058419244,0,0,335,8,0.023880597014925373,3,0.008955223880597015,347,13,0.037463976945244955,3,0.008645533141210375,358,12,0.0335195530726257,3,0.008379888268156424,Bradford,Yorkshire and The Humber,E12000003,12,0.0335195530726257,3,0.008379888268156424
E07000067,Braintree,133,0,0,0,0,158,0,0,0,0,185,0,0,0,0,199,2,0.010050251256281407,0,0,210,3,0.014285714285714285,0,0,217,3,0.013824884792626729,0,0,216,0,0,0,0,Braintree,East of England,E12000006,0,0,0,0
